"source","target","type","weights"
"1 AS Marine sanctuary","Christina Taylor","Company Contacts",1
"1 AS Marine sanctuary","Debbie Sanders","Shareholder",1
"1 Ltd. Liability Co Cargo","Angela Smith","Shareholder",1
"1 S.A. de C.V.","Catherine Cox","Company Contacts",1
"1 and Sagl Forwading","Angela Mendoza","Company Contacts",1
"1 and Sagl Forwading","Christopher Watson","Shareholder",1
"2 Limited Liability Company","Amanda Mcdonald","Shareholder",1
"2 Limited Liability Company","Megan Padilla","Company Contacts",1
"2 Limited Liability Company","Monica Martinez","Company Contacts",1
"2 Limited Liability Company","Teresa Collins","Shareholder",1
"2 S.A. de C.V.","Jessica Riley","Company Contacts",1
"3 Coast Sp Marine","Diana Fields","Company Contacts",1
"3 Limited Liability Company","Robert Silva","Company Contacts",1
"3 Ltd. Liability Co Transit","Elizabeth Jones","Company Contacts",1
"3 S.p.A. and Son's","April Garcia","Company Contacts",1
"3 S.p.A. and Son's","Benjamin Herman","Shareholder",1
"3 S.p.A. and Son's","Kelly Jarvis","Shareholder",1
"3 SE & Son's","Samantha Green","Company Contacts",1
"4 Limited Liability Company Seaport","Craig Franco","Company Contacts",1
"4 Limited Liability Company Seaport","Julie Bonilla","Shareholder",1
"4 Limited Liability Company Seaport","Roy Moore","Shareholder",1
"4 Limited Liability Company Seaport","Terry Olson","Shareholder",1
"4 Limited Liability Company Seaport","Timothy Hubbard","Shareholder",1
"4 N.V. Marine biology","Michael Ramirez","Company Contacts",1
"4 N.V. Marine biology","Natalie Hobbs","Shareholder",1
"4 N.V. Marine biology","Todd Lowe","Shareholder",1
"5 Flounder S.p.A. Transport","Patricia Beasley","Company Contacts",1
"6 Barge Oyj Cargo","Jesus Brown","Shareholder",1
"6 Barge Oyj Cargo","Katrina Ramsey","Shareholder",1
"6 Barge Oyj Cargo","Michael Pineda","Shareholder",1
"6 Barge Oyj Cargo","Sarah Wiggins","Company Contacts",1
"6 Barge Oyj Cargo","William Curtis","Shareholder",1
"6 LC & Son's","Christopher Kerr","Company Contacts",1
"6 LC & Son's","Krystal Arnold","Shareholder",1
"7 GmbH & Co. KG","Elijah Stone","Shareholder",1
"7 GmbH & Co. KG","Marcus Camacho","Shareholder",1
"7 GmbH & Co. KG","Margaret Guerrero","Shareholder",1
"7 GmbH & Co. KG","Ruth Young","Shareholder",1
"7 GmbH & Co. KG","Sarah Williams","Company Contacts",1
"7 Ltd. Liability Co Shipping","Brandy Fischer","Company Contacts",1
"8 Ltd. Liability Co","Lynn Graham","Company Contacts",1
"8 Ltd. Liability Co","Melissa Sparks","Shareholder",1
"8 S.A. de C.V.","Christina Barrera","Company Contacts",1
"8 SE Marine life","Aaron Contreras","Shareholder",1
"8 SE Marine life","Allison Baldwin","Shareholder",1
"8 SE Marine life","Amanda Robinson","Shareholder",1
"8 SE Marine life","Andrew Taylor","Shareholder",1
"8 SE Marine life","Brandon Cruz","Shareholder",1
"8 SE Marine life","Charles Hall","Shareholder",1
"8 SE Marine life","Charles Silva","Shareholder",1
