"...1","id","group","revenue_group","transboundary","type","Ult_BO","Multi_ent"
1,"1 Ltd. Liability Co","unknown","Medium","no","Company",NA,NA
2,"1 Swordfish Ltd Solutions","unknown","Medium","no","Company",NA,NA
3,"5 Limited Liability Company","Transport-logistics Company","Low","no","Company",NA,NA
4,"5 Oyj Marine life","unknown","Low","no","Company",NA,NA
5,"6 GmbH & Co. KG","unknown","Medium","no","Company",NA,NA
6,"7 Ltd. Liability Co Express","unknown","Medium","no","Company",NA,NA
7,"7 S.A. de C.V. Shipping","Food Company","Unreported","no","Company",NA,NA
8,"8 GmbH & Co. KG Tsunami","unknown","Medium","no","Company",NA,NA
9,"8 Ltd. Liability Co","unknown","Unreported","no","Company",NA,NA
10,"Adriatic Catch Ltd Transport","unknown","Unreported","no","Company",NA,NA
11,"Adriatic Squid Ltd. Liability Co","Fishing-related Company","Medium","yes","Company",NA,NA
12,"Adriatic Tuna Seabass BV Transit","Fishing-related Company","Low","no","Company",NA,NA
13,"Amerigo - AS Brothers","unknown","Unreported","no","Company",NA,NA
14,"Amerigo Incorporated Marine ecology","unknown","High","no","Company",NA,NA
15,"Ancla Azul ОАО Holdings","Food Company","Low","yes","Company",NA,NA
16,"Ancla de Oro Rybachit N.V. & Son's","unknown","High","no","Company",NA,NA
17,"Ancla del Este AG","Food Company","Medium","no","Company",NA,NA
18,"Ancla del Este Company Industrial","unknown","High","no","Company",NA,NA
19,"Ancla del Este LC","Transport-logistics Company","Low","no","Company",NA,NA
20,"Ancla del Este LLC","Multi-Industry Company","Low","yes","Company",NA,NA
21,"Ancla del Este Merchants","unknown","Medium","no","Company",NA,NA
22,"Ancla del Este OJSC","unknown","Medium","no","Company",NA,NA
23,"Ancla del Este Starfish","Food Company","Medium","no","Company",NA,NA
24,"Andaman  Roe BV Import","unknown","Medium","no","Company",NA,NA
25,"Andhra Pradesh   Corporation Holdings","Multi-Industry Company","Low","no","Company",NA,NA
26,"Andhra Pradesh   Limited Liability Company Industrial","unknown","Medium","no","Company",NA,NA
27,"Andhra Pradesh   Oyj Investment","unknown","High","no","Company",NA,NA
28,"Andhra Pradesh   Tidal flat Pic Express","Seafood-processing Company","Low","no","Company",NA,NA
29,"Andhra Pradesh  Ltd. Liability Co","unknown","Medium","no","Company",NA,NA
30,"Andhra Pradesh  Pic Laksa","unknown","Medium","no","Company",NA,NA
31,"Angrapa S.A. de C.V.","Food Company","Unreported","yes","Company",NA,NA
32,"Aqua Anchor Pic Solutions","unknown","Unreported","no","Company",NA,NA
33,"Aqua Aura SE Marine life","Fishing-related Company","Unreported","yes","Company",NA,NA
34,"Aqua Gourmet Company Line","unknown","Unreported","no","Company",NA,NA
35,"Aqua Ventures Sp Overseas","Fishing-related Company","Low","no","Company",NA,NA
36,"AquaDelicious GmbH & Co. KG","Food Company","Medium","yes","Company",NA,NA
37,"AquaDelicious S.A. de C.V. Overseas","Multi-Industry Company","Low","no","Company",NA,NA
38,"Aquatic Adventures GmbH & Co. KG","Transport-logistics Company","Medium","yes","Company",NA,NA
39,"Arabian Sea  Oyj Holdings","unknown","Unreported","no","Company",NA,NA
40,"Arabian Sea  Sp Express","Industrial Company","Low","no","Company",NA,NA
41,"Arawak S.A. de C.V.","unknown","High","no","Company",NA,NA
42,"Arena Azul Company International","unknown","High","no","Company",NA,NA
43,"Arena Azul Ltd. Corporation","Multi-Industry Company","Low","no","Company",NA,NA
44,"Arena de Coral AS Forwading","unknown","Medium","no","Company",NA,NA
45,"Arena de Coral Ltd. Corporation Forwading","unknown","High","no","Company",NA,NA
46,"Arena del Sol LLC","Multi-Industry Company","Unreported","no","Company",NA,NA
47,"Arena del Sol SE","Consumer-goods Company","Low","no","Company",NA,NA
